location,quality_score,safety_index,healthcare_index,climate_score,pollution_index,commute_time_minutes,work_life_balance,expat_friendly,english_proficiency,internet_speed_mbps,source
Dubai,78,88,75,55,62,42,52,95,95,180,OECD/FCSC 2024
Abu Dhabi,76,90,78,52,58,38,55,92,92,175,OECD/FCSC 2024
Mumbai,52,45,58,65,78,72,42,62,72,85,OECD/MOSPI 2024
Bangalore,58,52,62,72,68,68,48,72,78,95,OECD/MOSPI 2024
Shanghai,68,78,72,58,72,55,48,58,45,200,OECD/NBS 2024
Beijing,62,82,75,45,82,58,45,52,42,195,OECD/NBS 2024
Seoul,78,85,85,55,58,55,45,72,62,280,OECD/KOSTAT 2024
São Paulo,55,35,65,72,68,72,48,55,42,75,OECD/IBGE 2024
Mexico City,58,38,62,68,75,68,52,62,52,85,OECD/INEGI 2024
Johannesburg,52,28,55,72,55,58,48,58,85,65,OECD/StatsSA 2024
Cape Town,58,32,58,82,48,52,55,65,88,70,OECD/StatsSA 2024
Warsaw,72,72,75,52,55,42,62,68,65,150,OECD/GUS 2024
Prague,76,78,82,52,48,38,68,72,62,160,OECD/CZSO 2024
Lisbon,75,72,78,78,42,42,62,78,65,145,OECD/INE 2024
United States,72,52,76,62,52,48,58,82,100,185,OECD 2024
United Kingdom,75,62,80,45,52,45,58,85,100,130,OECD 2024
Germany,82,75,88,52,45,35,72,82,82,170,OECD 2024
France,76,58,86,60,55,42,62,75,62,175,OECD 2024
Switzerland,92,88,94,55,32,28,78,85,72,245,OECD 2024
Netherlands,84,75,86,48,40,32,82,90,95,195,OECD 2024
Singapore,85,92,88,72,48,38,58,95,92,260,OECD 2024
Hong Kong,72,85,82,65,58,42,45,88,88,250,OECD 2024
Japan,80,90,89,60,50,52,55,70,55,200,OECD 2024
Australia,84,74,87,75,36,46,73,91,100,118,OECD 2024
Canada,81,70,85,50,40,48,70,91,100,180,OECD 2024
Ireland,78,70,79,46,38,40,66,90,100,148,OECD 2024
Luxembourg,88,82,90,52,32,25,75,85,78,220,OECD 2024
Spain,74,70,82,78,52,42,66,72,52,175,OECD 2024
Italy,72,62,82,70,58,45,60,68,52,160,OECD 2024
Belgium,76,60,86,48,52,40,68,82,72,155,OECD 2024
Austria,86,80,91,55,38,32,76,80,74,178,OECD 2024
Sweden,85,76,88,40,32,36,82,86,92,198,OECD 2024
Denmark,88,80,88,42,34,30,86,88,96,205,OECD 2024
Norway,87,82,90,35,28,34,85,84,95,192,OECD 2024
Finland,85,88,88,32,24,34,85,80,92,182,OECD 2024
United Arab Emirates,76,89,76,54,60,40,54,94,94,178,OECD 2024
India,52,45,58,68,76,70,44,62,72,88,OECD 2024
China,64,80,72,55,78,56,46,54,42,195,OECD 2024
South Korea,77,86,85,55,56,54,46,70,60,275,OECD 2024
Brazil,54,34,64,72,66,70,48,54,42,78,OECD 2024
Mexico,56,36,62,70,72,66,52,60,48,82,OECD 2024
South Africa,52,28,55,76,52,55,48,60,86,66,OECD 2024
Poland,72,74,76,50,54,40,64,66,64,148,OECD 2024
Czech Republic,76,78,82,50,48,36,68,70,60,158,OECD 2024
Portugal,75,74,79,80,42,40,64,76,64,142,OECD 2024
